id,name,code,implementation,active,prefix,number_next,number_increment,padding,company_id/id
ir_sequence_retail_counter_waste_managementx_sequenc_1207,Retail Counter - Waste ManagementX Sequence packing,,standard,1,RC-WX/PACK/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_retail_counter_waste_managementx_sequenc_1206,Retail Counter - Waste ManagementX Sequence picking,,standard,1,RC-WX/PICK/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_retail_counter_for_products_implements_a,"Retail Counter for Products, Implements And Accessories - Thimbirigasya Picking POS",,standard,1,RC-TM/POS/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_retail_counter_for_products_implements_a_1214,"Retail Counter for Products, Implements And Accessories - Thimbirigasya Sequence in",,standard,1,RC-TM/IN/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_retail_counter_for_products_implements_a_1218,"Retail Counter for Products, Implements And Accessories - Thimbirigasya Sequence internal",,standard,1,RC-TM/INT/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_retail_counter_for_products_implements_a_1215,"Retail Counter for Products, Implements And Accessories - Thimbirigasya Sequence out",,standard,1,RC-TM/OUT/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_retail_counter_for_products_implements_a_1217,"Retail Counter for Products, Implements And Accessories - Thimbirigasya Sequence packing",,standard,1,RC-TM/PACK/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_retail_counter_for_products_implements_a_1216,"Retail Counter for Products, Implements And Accessories - Thimbirigasya Sequence picking",,standard,1,RC-TM/PICK/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_retail_counter_for_products_implements_a_1219,"Retail Counter for Products, Implements And Accessories - Thimbirigasya Sequence picking before manufacturing",,standard,1,RC-TM/PC/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_retail_counter_for_products_implements_a_1221,"Retail Counter for Products, Implements And Accessories - Thimbirigasya Sequence production",,standard,1,RC-TM/MO/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_retail_counter_for_products_implements_a_1223,"Retail Counter for Products, Implements And Accessories - Thimbirigasya Sequence repair",,standard,1,RC-TM/RO/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_retail_counter_for_products_implements_a_1220,"Retail Counter for Products, Implements And Accessories - Thimbirigasya Sequence stock after manufacturing",,standard,1,RC-TM/SFP/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_retail_sales_counter_sp_sp_rc_sequence_r,Retail Sales Counter(Sp) - SP-RC Sequence Resupply Subcontractor,,standard,1,SP-RC/RES/,1,1,5,base.main_company
ir_sequence_retail_sales_counter_sp_sp_rc_sequence_i,Retail Sales Counter(Sp) - SP-RC Sequence in,,standard,1,SP-RC/IN/,1,1,5,base.main_company
ir_sequence_retail_sales_counter_sp_sp_rc_sequence_i_905,Retail Sales Counter(Sp) - SP-RC Sequence internal,,standard,1,SP-RC/INT/,1,1,5,base.main_company
ir_sequence_retail_sales_counter_sp_sp_rc_sequence_o,Retail Sales Counter(Sp) - SP-RC Sequence out,,standard,1,SP-RC/OUT/,1,1,5,base.main_company
ir_sequence_retail_sales_counter_sp_sp_rc_sequence_p,Retail Sales Counter(Sp) - SP-RC Sequence production,,standard,1,SP-RC/MO/,1,1,5,base.main_company
ir_sequence_retail_sales_counter_sp_sp_rc_sequence_r_984,Retail Sales Counter(Sp) - SP-RC Sequence repair,,standard,1,SP-RC/RO/,1,1,5,base.main_company
ir_sequence_retail_sales_counter_sp_sp_rc_sequence_r_362,Retail Sales Counter(Sp) - SP-RC Sequence return,,standard,1,SP-RC/RET/,1,1,5,base.main_company
ir_sequence_retail_sales_counter_sp_sp_rc_sequence_s,Retail Sales Counter(Sp) - SP-RC Sequence subcontracting,,standard,1,SP-RC/SBC/,1,1,5,base.main_company
ir_sequence_retail_sales_counter_sp_sp_rc_picking_po,Retail Sales Counter(Sp) - SP-RC picking POS,,standard,1,SP-RC/POS/,1,1,5,base.main_company
ir_sequence_slt_payments_check_number_sequence,SLT Payments : Check Number Sequence,,no_gap,1,,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_salaries_check_number_sequence,Salaries : Check Number Sequence,,no_gap,1,,1,1,5,base.main_company
ir_sequence_salaries_check_number_sequence_979,Salaries: Check Number Sequence,,no_gap,1,,1,1,5,base.main_company
ir_sequence_salary_payment_check_number_sequence,Salary Payment : Check Number Sequence,,no_gap,1,,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_sales_commission_for_staff_check_number_,Sales Commission for staff: Check Number Sequence,,no_gap,1,,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_sales_journals_check_number_sequence,Sales Journals: Check Number Sequence,,no_gap,1,,1,1,5,base.main_company
ir_sequence_sales_order,Sales Order,sale.order,standard,1,S,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_securisation_of_secure_sequence_id_misce,Securisation of secure_sequence_id - Miscellaneous Operations,SECUR3-secure_sequence_id,no_gap,1,,1,1,5,base.main_company
ir_sequence_securisation_of_secure_sequence_id_vendo,Securisation of secure_sequence_id - Vendor Despatch,SECUR56-secure_sequence_id,no_gap,1,,9,1,0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_securisation_of_secure_sequence_id_vendo_273,Securisation of secure_sequence_id - Vendor Despatch,SECUR15-secure_sequence_id,no_gap,1,,1,1,5,base.main_company
ir_sequence_sequence_appr,Sequence APPR,,standard,1,APPR,1,1,5,
ir_sequence_stock_journal_check_number_sequence,Stock Journal: Check Number Sequence,,no_gap,1,,1,1,5,base.main_company
ir_sequence_tax_journal_check_number_sequence,TAX JOURNAL : Check Number Sequence,,no_gap,1,,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_test_warehouse_001_picking_pos,TEST - Warehouse - 001 Picking POS,,standard,1,001/POS/,1,1,5,base.main_company
ir_sequence_test_warehouse_001_sequence_resupply_sub,TEST - Warehouse - 001 Sequence Resupply Subcontractor,,standard,1,001/RES/,1,1,5,base.main_company
ir_sequence_test_warehouse_001_sequence_in,TEST - Warehouse - 001 Sequence in,,standard,1,001/IN/,1,1,5,base.main_company
ir_sequence_test_warehouse_001_sequence_internal,TEST - Warehouse - 001 Sequence internal,,standard,1,001/INT/,1,1,5,base.main_company
ir_sequence_test_warehouse_001_sequence_out,TEST - Warehouse - 001 Sequence out,,standard,1,001/OUT/,1,1,5,base.main_company
ir_sequence_test_warehouse_001_sequence_packing,TEST - Warehouse - 001 Sequence packing,,standard,1,001/PACK/,1,1,5,base.main_company
ir_sequence_test_warehouse_001_sequence_picking,TEST - Warehouse - 001 Sequence picking,,standard,1,001/PICK/,1,1,5,base.main_company
ir_sequence_test_warehouse_001_sequence_picking_befo,TEST - Warehouse - 001 Sequence picking before manufacturing,,standard,1,001/PC/,1,1,5,base.main_company
ir_sequence_test_warehouse_001_sequence_production,TEST - Warehouse - 001 Sequence production,,standard,1,001/MO/,1,1,5,base.main_company
ir_sequence_test_warehouse_001_sequence_return,TEST - Warehouse - 001 Sequence return,,standard,1,001/RET/,1,1,5,base.main_company
ir_sequence_test_warehouse_001_sequence_stock_after_,TEST - Warehouse - 001 Sequence stock after manufacturing,,standard,1,001/SFP/,1,1,5,base.main_company
ir_sequence_test_warehouse_001_sequence_subcontracti,TEST - Warehouse - 001 Sequence subcontracting,,standard,1,001/SBC/,1,1,5,base.main_company
ir_sequence_test_journal_check_number_sequence,TEST JOURNAL : Check Number Sequence,,standard,1,,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_test_picking_pos,TEST Picking POS,,standard,1,TE-ST/POS/,1,1,5,base.main_company
ir_sequence_test_picking_pos_872,TEST Picking POS,,standard,1,TEST/POS/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_test_sequence_resupply_subcontractor,TEST Sequence Resupply Subcontractor,,standard,1,TEST/RES/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
