id,name,active,sequence,parent_path,report_header,report_footer,company_details,uses_default_logo,currency_id/id,font,primary_color,secondary_color,layout_background,email_primary_color,email_secondary_color,hr_presence_control_email_amount,iap_enrich_auto_done,snailmail_color,hr_attendance_overtime,overtime_start_date,overtime_company_threshold,overtime_employee_threshold,attendance_kiosk_mode,attendance_barcode_source,attendance_kiosk_delay,attendance_kiosk_key,attendance_from_systray,contract_expiration_notice_period,work_permit_expiration_notice_period,sign_terms,sign_terms_type,sign_terms_html,fiscalyear_last_day,fiscalyear_last_month,expects_chart_of_accounts,tax_calculation_rounding_method,currency_exchange_journal_id/id,anglo_saxon_accounting,invoice_is_email,invoice_is_download,account_opening_date,invoice_terms,terms_type,invoice_terms_html,account_fiscal_country_id/id,planning_generation_interval,planning_self_unassign_days_before,annual_inventory_month,annual_inventory_day,predict_bill_product,deferred_journal_id/id,generate_deferred_expense_entries_method,generate_deferred_revenue_entries_method,deferred_amount_computation_method,account_check_printing_layout,account_check_printing_date_label,account_check_printing_margin_top,account_check_printing_margin_left,account_check_printing_margin_right,rule_type,intercompany_user_id/id,extract_in_invoice_digitalization_mode,extract_out_invoice_digitalization_mode,extract_single_line_per_tax,currency_interval_unit,currency_provider,recruitment_extract_show_ocr_option_selection,project_time_mode_id/id,timesheet_encode_uom_id/id,manufacturing_lead,po_lead,po_lock,po_double_validation,po_double_validation_amount,stock_move_sms_validation,has_received_warning_stock_sms,account_tax_periodicity,account_tax_periodicity_reminder_day,account_tax_periodicity_journal_id/id,point_of_sale_update_stock_quantities,days_to_purchase,portal_confirmation_sign,prepayment_percent,quotation_validity_days,timesheet_mail_employee_allow,timesheet_mail_employee_delay,timesheet_mail_employee_interval,timesheet_mail_allow,timesheet_mail_delay,timesheet_mail_interval,expense_extract_show_ocr_option_selection,batch_payroll_move_lines,manufacturing_period,manufacturing_period_to_display,mrp_mps_show_starting_inventory,mrp_mps_show_demand_forecast,mrp_mps_show_actual_demand,mrp_mps_show_indirect_demand,mrp_mps_show_to_replenish,mrp_mps_show_actual_replenishment,mrp_mps_show_safety_stock,security_lead,billing_rate_target
res_company_jinasena_agricultural_machinery_pvt_ltd,Jinasena Agricultural Machinery (Pvt) Ltd.,1,1,2/,<p><br></p>,<p><br></p>,"<p>Jinasena Agricultural Machinery (Pvt) Ltd.<br>
Ekala,<br>
Ja-Ela  </p>",,base.LKR,Lato,#555555,#000000,Blank,#555555,#000000,0,1,1,1,2024-09-01,0,0,barcode_manual,front,10,63bebc74-4147-4f4b-b445-c5de1e88a572,1,7,60,"<h1 style=""text-align: center;"">Terms &amp; Conditions</h1><p>Your conditions...</p>",plain,"<h1 style=""text-align: center;"">Terms &amp; Conditions</h1><p>Your conditions...</p>",31,3,1,round_globally,__export__.account_journal_58_4c5a858a,1,1,1,2024-04-01,<p><br></p>,html,"<h1 style=""text-align: center; "">Terms &amp; Conditions</h1><p>Your conditions...</p>",base.lk,6,0,4,1,1,__export__.account_journal_27_98d74737,manual,manual,month,disabled,1,0.25,0.25,0.25,not_synchronize,base.user_root,auto_send,auto_send,1,manually,ecb,auto_send,uom.product_uom_hour,uom.product_uom_hour,0.0,0.0,edit,one_step,5000.0,1,1,monthly,7,__export__.account_journal_47_b5c596f2,closing,0.0,1,1.0,30,1,1,weeks,1,3,weeks,auto_send,1,week,12,1,1,1,1,1,1,1,0.0,80
res_company_jltd,JLTD,1,10,3/,,,,1,base.LKR,Lato,,,Blank,#000000,#875A7B,0,1,1,,,0,0,barcode_manual,front,10,f5efcb1b-9243-4fa0-ad87-dc964560e648,1,7,60,"<h1 style=""text-align: center; "">Terms &amp; Conditions</h1>
        <p>Your conditions...</p>",plain,"<h1 style=""text-align: center; "">Terms &amp; Conditions</h1>
        <p>Your conditions...</p>",31,3,1,round_per_line,,,1,1,2024-04-01,<p><br></p>,plain,,,6,0,12,31,1,,manual,manual,month,disabled,1,0.25,0.25,0.25,not_synchronize,base.user_root,auto_send,auto_send,1,manually,ecb,auto_send,uom.product_uom_hour,uom.product_uom_hour,0.0,0.0,edit,one_step,5000.0,1,,monthly,7,,closing,0.0,1,1.0,30,1,1,weeks,1,3,weeks,auto_send,1,month,12,1,1,1,1,1,1,1,0.0,80
