id,parent_id/id
Jinasena_MasterData_Common.res_partner_efg,Jinasena_MasterData_Common.res_partner_cde
Jinasena_MasterData_Common.res_partner_id_6625,Jinasena_MasterData_Common.res_partner_jinasena_agricultural_machinery_pvt_ltd
Jinasena_MasterData_Common.res_partner_id_6624,Jinasena_MasterData_Common.res_partner_jinasena_agricultural_machinery_pvt_ltd
Jinasena_MasterData_Common.res_partner_id_7448,Jinasena_MasterData_Common.res_partner_kurunegala_cash_customer
Jinasena_MasterData_Common.res_partner_abc_7455,Jinasena_MasterData_Common.res_partner_test_company
